"numero","Ref","Chmabre","Prix","Correction","type"
1,"R0-1","Salon",551.13,551.13,PVC
2,"R0-2","Salon",563.24,563.24,PVC
3,"R0-1","Cuisine",491.99,491.99,PVC
4,"R0-2","Cuisine",1770.6,1770.6,PVC
5,"R0-3","Cuisine",478.9,478.9,PVC
6,"R0-1","Hall",1244.14,1244.14,PVC
7,"R0-1","Bureau",1046.88,1046.88,PVC
9,"R1-2","Chambre1",482.63,482.63,PVC
10,"R1-3","Chambre1",482.63,482.63,PVC
11,"R1-1","Hall",315.0,315.0,PVC
12,"R1-1","Chambre3",376.85,376.85,PVC
13,"R1-2","Chambre3",376.85,376.85,PVC
14,"R1-2","Chambre3",376.85,482.63,PVC
15,"R1-3","Chambre3",704.87,704.87,PVC
16,"R0-2","Bureau",4631.54,4631.54,ALU
17,"R0-3","Salon",5858.10,5858.10,ALU
18,"R1-1","Cuisine",2718.05,2718.05,ALU
19,"R1-4","Cuisine2",1771.14,1771.14,ALU
20,"R1-4","Chambre1",1224.71,1224.71,ALU
21,"R1-4","Chambre1",1935.02,1935.02,ALU


